cohort,stratum,signature,signature_type,n_responder,n_non_responder,mean_responder,mean_non_responder,cliffs_delta_R_vs_NR,AUC_nonresponse_high,hedges_g_R_minus_NR,variance_g,se_g,ci95_low_g,ci95_high_g
E-MTAB-7604,E-MTAB-7604_IBD_colon,Arijs_2009_top5,published_benchmark,10,17,0.04877510444853706,0.4601752592741023,-0.27058823529411763,0.6352941176470588,-0.41977312106529313,0.16234771887514265,0.40292396165423405,-1.2095040859075918,0.36995784377700563
E-MTAB-7604,E-MTAB-7604_IBD_colon,West_2017_OSM22,published_benchmark,10,17,0.08173376595135293,0.30868259290483524,-0.24705882352941178,0.6235294117647059,-0.28761815217040115,0.16047801344092302,0.40059707118365584,-1.0727884116903665,0.4975521073495643
E-MTAB-7604,E-MTAB-7604_IBD_colon,West_2017_OSM_OSMR,published_benchmark,10,17,-0.038100335066637,0.4931427411952032,-0.4117647058823529,0.7058823529411765,-0.6111623740657551,0.1662939183612385,0.40779151335117125,-1.4104337402340508,0.1881089921025405
E-MTAB-7604,E-MTAB-7604_IBD_ileum,myeloid_inflammation,current_module,9,8,-0.6664414648220722,-0.19233545375795305,-0.3888888888888889,0.6944444444444444,-0.6851788824103531,0.2517601144744811,0.5017570273294447,-1.6686226559760646,0.2982648911553586
E-MTAB-7604,E-MTAB-7604_IBD_ileum,epithelial_ifn_damage,current_module,9,8,0.020900975075209174,0.2379457602230477,-0.3888888888888889,0.6944444444444444,-0.6403334519258065,0.24977867543295174,0.4997786264266928,-1.6198995597221244,0.3392326558705113
E-MTAB-7604,E-MTAB-7604_IBD_ileum,epithelial_barrier_maturity,current_module,9,8,0.11272245346702464,-0.43053495379846196,0.4166666666666667,0.2916666666666667,0.9455270581065153,0.26591182503149646,0.5156663892784719,-0.06517906487928948,1.95623318109232
E-MTAB-7604,E-MTAB-7604_IBD_ileum,stromal_fibroinflammatory,current_module,9,8,-0.5511353758140675,-0.4095554969110915,-0.2222222222222222,0.6111111111111112,-0.1702596666018788,0.2370773895801572,0.4869059350430607,-1.1245952992862778,0.7840759660825201
E-MTAB-7604,E-MTAB-7604_IBD_ileum,Arijs_2009_top5,published_benchmark,9,8,-0.7301182253207013,-0.2174583030323501,-0.5,0.75,-0.7537027133581404,0.25504670378189187,0.5050214884357812,-1.7435448306922716,0.23613940397599076
E-MTAB-7604,E-MTAB-7604_IBD_ileum,West_2017_OSM22,published_benchmark,9,8,-0.5363000587533685,-0.1547801512644269,-0.3055555555555556,0.6527777777777778,-0.4968168801196445,0.2443386781901717,0.4943062595093974,-1.4656571487580634,0.4720233885187744
E-MTAB-7604,E-MTAB-7604_IBD_ileum,West_2017_OSM_OSMR,published_benchmark,9,8,-0.770308332982376,-0.13370603160133548,-0.4722222222222222,0.7361111111111112,-0.8104216036964678,0.2580038836357096,0.5079408269037936,-1.8059856244279033,0.1851424170349677
