,resident_like_macrophage,inflammatory_monocyte,other_myeloid,stroma,colonic_epithelium
NUDT6,2.3632509459062288,1.707182116072996,2.059525697051378,2.942977009864113,3.034329943120902
NUDT7,1.8831646372263051,1.6364515309624268,1.5112776913376336,3.297892782190927,2.7205459512983747
NUDT8,2.483731628679057,1.6722502410603024,2.795855903625733,3.094522641442231,5.602012463737619
NUDT9,4.341272245383391,3.459199662210451,3.9168584821513748,4.970157691274987,4.540183539577538
NUF2,0.6417065911265406,0.4756617630180751,2.6488045730610144,0.6954960801218815,3.12886130177848
NUFIP1,2.9279057047384476,3.3194425242020777,3.4385529122809877,3.8774884066150967,3.3531855004081836
NUFIP2,6.21472147271719,7.170141169675861,6.975687861137058,6.4493767729776135,6.241179888001043
NUGGC,0.2916854154205314,0.3922566758905808,0.5064966666568033,0.20771834144133997,0.30577510566814264
NUMA1,4.20769120065112,4.515455839385019,4.921319428462661,6.117866473132398,5.69282532891723
NUMB,5.751688398568637,6.728730621419472,5.90678589250433,5.791070414994425,5.570226072103308
NUMBL,1.084300557436334,1.2190229682710216,2.0399851113186416,4.889165361714711,1.8856820785938628
NUP107,3.2157670624173313,3.363904282628646,3.881613744313892,3.99914105821469,3.9910223844804267
NUP133,3.4107462810059856,2.9186418251307975,3.423550631248415,3.762843756296444,3.1184406811011463
NUP153,3.806945565727326,4.554344556098299,4.596271936888136,4.322584487512876,4.236327405825176
NUP155,2.8403443682836285,2.7105902559204256,3.046542866297494,3.377439897414569,3.2866834955455198
NUP160,3.3002325898307014,3.4385602304094087,3.7129450660034027,4.576363711791245,3.962175804069327
NUP188,3.4107462810059856,3.2140914602022423,3.3853478721290706,3.867573716988377,3.4055507779833403
NUP205,3.069408627638346,2.76133370757453,3.289309731396451,3.3248987707417177,3.575645501313513
NUP210,2.698152131393748,3.5095422523749233,4.093118978877645,0.4801552459550869,2.8724501389424697
NUP210L,0.0,0.3037323046627132,0.3246468006686816,0.4146222764074352,0.1558872408929449
NUP214,5.0895932308863445,6.43515761746119,5.0404208840306755,4.438398842176787,4.322546931365172
NUP35,1.9263289739651657,1.8701793556884438,2.387914775595186,3.281902631564332,3.0900564778594295
NUP37,3.77187754848558,3.3748088723596115,4.042464432616038,4.149596035052739,4.336382051417358
NUP43,3.380025233241352,2.8421307690456628,3.243060647185543,3.0827041880525403,3.3131964422599958
NUP50,4.835951475362331,5.209814222858888,5.164038681788593,4.837356062801189,5.215066596147846
NUP50-DT,3.5824841179126423,3.9641020612344873,3.486260131913575,2.7067543481390177,2.02887936873383
NUP54,4.040961855689457,4.108284095432825,4.427948106155573,5.019208072449163,4.391785455672463
NUP58,5.419166458555732,5.680988230641054,5.633692054175109,5.03428572521322,4.589116331228975
NUP62,5.775489611059805,6.252117961066709,6.199334068726684,4.719341602497213,5.025390880204852
NUP62CL,0.0,0.2094188879792804,0.3878448046340417,0.08670785186945702,1.8483346427864091
NUP85,3.6092198247692786,2.9912987766822994,3.597381378591801,4.034336400956277,3.9763105759203747
NUP88,3.198263893907801,3.273566828225155,3.8898239022251224,3.7446250397063023,4.314295862252951
NUP93,4.1722697393995976,4.041419492032669,4.366520077956761,3.953002651775317,3.678980367651495
NUP98,4.754462982256761,5.194508667566106,5.294482043946094,4.562720652994333,4.579176705809603
NUPL2,4.396037238805994,3.9201145549706924,4.707282976386149,4.430131666381253,4.056283066788621
NUPR1,7.025561211734418,1.5233955563139996,2.463204088818671,7.518196999757764,7.945249753411792
NUPR2,0.0,0.10850596886558207,0.03989605638645116,0.19801290257742554,1.614374244731028
NUS1,5.19483731509717,5.134820053225134,4.9306343509642945,4.792914914596925,4.900575211500286
NUSAP1,2.3314902904981003,1.4427821967661116,3.91149194228166,1.101627357633689,4.6469044453132895
NUTF2,5.702874562268991,5.5159428994759505,5.630429261599186,5.982021150864525,5.742443882450532
NUTM1,0.15320183964568132,0.0,0.0,0.02217039241817201,0.03366368862284041
NUTM2A,0.0,0.0,0.03989605638645116,0.011127783298664777,0.022529509804773026
NUTM2A-AS1,3.5689281418118988,4.020740502992139,4.226595266769557,3.9601976197090134,3.7053305043242677
NUTM2B,0.0,0.0,0.07871845775781273,0.011127783298664777,0.055677527242008584
NUTM2B-AS1,4.117451518009551,4.972014823662662,5.7858854954396675,5.83752238237731,5.510337141991707
NUTM2D,0.15320183964568132,0.0,0.15336308674825527,0.19801290257742554,0.061128899199910415
NUTM2E,0.0,0.0,0.03989605638645116,0.044005234777390975,0.005665446977909845
NUTM2F,0.0,0.0,0.0,0.0,0.005665446977909845
NUTM2G,0.0,0.0,0.07871845775781273,0.02217039241817201,0.022529509804773026
NVL,2.8175977125603726,2.79419749398531,3.3260772701038235,3.4415632871311246,3.555991573675984
NWD1,0.0,0.0,0.0,0.08670785186945702,0.40771263077731923
NWD2,0.0,0.0,0.03989605638645116,0.011127783298664777,0.8053706943705035
NXF1,5.001514887713983,6.014815324817489,5.662729808062436,5.245131980948956,4.520284484943639
NXF2,0.0,0.0,0.0,0.0,0.0
NXF2B,0.0,0.0,0.0,0.0,0.0
NXF3,0.5341999884465196,0.2094188879792804,0.07871845775781273,0.011127783298664777,0.18613898446760818
NXF5,0.0,0.0,0.0,0.0,0.0
NXN,1.1585839054973717,0.3037323046627132,0.6932078117302021,5.757805719500756,0.34205430509436474
NXNL1,0.0,0.0,0.0,0.0,0.005665446977909845
NXNL2,0.0,0.0,0.11652347988531384,0.5118382245249542,0.08273070707704679
NXPE1,0.2916854154205314,0.3922566758905808,0.29197837950315925,0.2830972957400843,5.873318191152274
NXPE2,0.0,0.0,0.0,0.033129121339292356,2.4556411763669206
NXPE3,3.661249248093296,3.5581872185447456,3.706762037810734,3.7816477575957155,0.9592732761875757
NXPE4,0.15320183964568132,0.10850596886558207,0.29197837950315925,0.24590006923957464,5.928790835948981
NXPH1,0.0,0.0,0.0,0.0,0.0
NXPH2,0.0,0.0,0.0,0.0,0.0
NXPH3,0.0,0.10850596886558207,0.9659517208025648,1.4471519183292472,0.03366368862284041
NXPH4,0.0,0.0,0.03989605638645116,0.43954727598718396,0.1301836682820277
NXT1,5.108456832136432,5.5085356123624,6.142060339414364,5.807519223336315,4.420433352297991
NXT2,3.4107462810059856,3.7712530009656984,3.8256518422008248,2.9845004555037162,2.575716145329015
NYAP1,0.0,0.0,0.15336308674825527,0.36344198299612523,0.2543530780688577
NYAP2,0.0,0.2094188879792804,0.3565918276508423,0.7824927643931096,0.23035946310077413
NYNRIN,0.41803249925833175,0.3922566758905808,0.8585005988763632,3.9493916669636455,2.6714922615197603
NYX,0.0,0.0,0.0,0.02217039241817201,0.005665446977909845
OAF,3.5959139029838867,4.9096464178299914,3.5703931205793906,6.534746601762755,4.656839859065649
OARD1,4.609711094850474,4.22737441000296,4.716544275871551,4.645388975417108,5.06255651500576
OAS1,4.996460346406212,5.115446157817599,3.930188140441685,3.90085974184237,5.732869248605661
OAS2,4.216412327581062,4.943000535971134,4.167040906928689,4.1819594849829524,2.41044317694728
OAS3,3.5133933996787783,4.392074419877489,3.51838769208691,4.26215815517903,3.8422346024657874
OASL,2.9279057047384476,5.713565788060779,3.7614778844043326,3.4640078376617955,4.1631215354435085
OAT,5.203636253730966,5.007480892159297,5.179748801752165,6.231645732033561,4.962512955143927
OAZ1,10.502451256024855,10.566319389765248,10.13074063215418,8.90900200511644,8.5322288298693
OAZ2,7.080333998433129,6.6411218263316725,6.445232232268511,6.85931934009852,3.903451287016934
OAZ3,1.9263289739651657,1.0110986950338416,1.0067871823337622,2.8265490433707376,1.6919719031492317
OBP2A,0.15320183964568132,0.0,0.0,0.14848149083017906,0.011308732808332805
OBP2B,0.0,0.0,0.0,0.19801290257742554,0.011308732808332805
OBSCN,0.2916854154205314,0.7680789913890524,0.7180124896523337,3.8529593381009186,1.346194465326046
OBSCN-AS1,0.0,0.3037323046627132,0.15336308674825527,0.7023775826138337,0.1558872408929449
OBSL1,1.2292290221049023,0.6292664192339831,1.3775491725076114,4.271442877648319,2.0274876768346317
OC90,0.0,0.0,0.03989605638645116,0.0,0.0
OCA2,0.0,0.0,0.0,0.11792527578185553,0.30117538076922207
OCEL1,4.0987059236927434,3.859297211603442,3.7763155605714003,4.540331780805188,4.196942499574422
OCIAD1,6.480319474261132,6.191732849576756,6.507026094294083,7.079550229243424,6.615671481227184
OCIAD1-AS1,0.0,0.0,0.0,0.0,0.0
OCIAD2,2.540397617211388,1.707182116072996,3.6880523518810047,4.602349316000187,7.056793145726129
OCLM,0.41803249925833175,0.10850596886558207,0.47773594352208065,0.4477608253400086,0.28262841085755275
OCLN,1.084300557436334,1.4836518566154202,1.8510782823635838,1.897450036204551,5.072881292516401
OCM,0.0,0.0,0.11652347988531384,0.06551453296190632,0.016930030188497116
OCM2,0.0,0.0,0.0,0.0,0.0
OCRL,2.265791123958751,2.0442008249260306,1.8055146193083644,3.30807936122204,3.4669033690344904
OCSTAMP,1.1585839054973717,0.0,0.03989605638645116,0.0,0.011308732808332805
ODAM,0.0,0.0,0.0,0.0,0.28262841085755275
ODAPH,0.0,0.10850596886558207,0.03989605638645116,0.19801290257742554,0.09872241350447233
ODC1,5.545664727602167,5.770413412889063,6.570543991033829,5.8682535253248025,7.78870775225336
ODF1,0.0,0.0,0.0,0.0,0.0
ODF2,2.948990158773583,2.9036607858009256,3.4680974161246008,3.997743198475501,3.395875974515252
ODF2-AS1,0.0,0.0,0.03989605638645116,0.0,0.0
ODF2L,3.6092198247692786,3.363904282628646,3.884355658313259,6.303837947242465,5.173831301477772
ODF3,0.0,0.0,0.03989605638645116,0.0,0.005665446977909845
ODF3B,5.535246251209196,6.5514558275685575,5.96493328607801,5.336709915890822,4.080978962033925
ODF3L1,1.0059837952900417,1.118803405242228,1.1227851705305265,1.3006683705128472,0.7388980169335313
ODF3L2,0.0,0.0,0.0,0.6605874233194268,0.061128899199910415
ODF4,0.0,0.0,0.3246468006686816,0.011127783298664777,0.0
ODR4,3.99101097710286,4.221345644891418,4.612899474671232,4.877431910712361,4.530391146875127
OFD1,4.396037238805994,4.444771407128909,5.931520357872242,5.073296686127379,5.323802021024412
