split,model,auc,brier
72,clinical_plus_barrier,0.4444444444444445,0.29355912656518934
72,clinical_plus_myeloid_barrier,0.638888888888889,0.2613935510006161
73,clinical_Mayo_age,0.7222222222222223,0.22392838141835272
73,clinical_plus_myeloid,0.6666666666666667,0.24963093230086494
73,clinical_plus_barrier,0.7500000000000001,0.22901775890738688
73,clinical_plus_myeloid_barrier,0.6944444444444444,0.250258840618272
74,clinical_Mayo_age,0.35,0.27491290889149966
74,clinical_plus_myeloid,0.7,0.21290381331148084
74,clinical_plus_barrier,0.5666666666666667,0.2679624567837774
74,clinical_plus_myeloid_barrier,0.7,0.22433735378682618
75,clinical_Mayo_age,0.5714285714285714,0.23561162512316156
75,clinical_plus_myeloid,0.6857142857142857,0.20408426163727456
75,clinical_plus_barrier,0.7714285714285714,0.21949742612278866
75,clinical_plus_myeloid_barrier,0.6857142857142857,0.20227929530192065
76,clinical_Mayo_age,0.4,0.2783852538562422
76,clinical_plus_myeloid,0.4285714285714285,0.27398358801782025
76,clinical_plus_barrier,0.3714285714285714,0.260948996913059
76,clinical_plus_myeloid_barrier,0.4571428571428571,0.28040615398182833
77,clinical_Mayo_age,0.5,0.24856871311171322
77,clinical_plus_myeloid,0.6388888888888888,0.25961391609810214
77,clinical_plus_barrier,0.6388888888888888,0.2507976921263137
77,clinical_plus_myeloid_barrier,0.5833333333333334,0.26287175051650563
78,clinical_Mayo_age,0.6666666666666666,0.22654311791675083
78,clinical_plus_myeloid,0.7777777777777778,0.20132293508693455
78,clinical_plus_barrier,0.7777777777777778,0.21560154090855096
78,clinical_plus_myeloid_barrier,0.7777777777777778,0.19924518483375175
79,clinical_Mayo_age,0.6666666666666666,0.2477078285932798
79,clinical_plus_myeloid,0.7666666666666666,0.21129885499432072
79,clinical_plus_barrier,0.5333333333333333,0.26944380154230496
79,clinical_plus_myeloid_barrier,0.7666666666666666,0.2315731817479728
80,clinical_Mayo_age,0.6142857142857142,0.23544381507521092
80,clinical_plus_myeloid,0.6,0.21626118919561574
80,clinical_plus_barrier,0.6857142857142857,0.2179462985976639
80,clinical_plus_myeloid_barrier,0.5714285714285714,0.21934181902154645
81,clinical_Mayo_age,0.45714285714285713,0.26319525736905885
81,clinical_plus_myeloid,0.6285714285714286,0.25888690504217976
81,clinical_plus_barrier,0.6,0.254894738748991
81,clinical_plus_myeloid_barrier,0.6285714285714286,0.2570635242409898
82,clinical_Mayo_age,0.5833333333333333,0.24921648136994365
82,clinical_plus_myeloid,0.6388888888888888,0.22043427473537658
82,clinical_plus_barrier,0.6111111111111112,0.26932959439084003
82,clinical_plus_myeloid_barrier,0.75,0.23323324136962184
83,clinical_Mayo_age,0.4444444444444444,0.31144687256455256
83,clinical_plus_myeloid,0.6111111111111112,0.28078824691932297
83,clinical_plus_barrier,0.5277777777777777,0.3112906392117096
83,clinical_plus_myeloid_barrier,0.638888888888889,0.2841258580916472
84,clinical_Mayo_age,0.4666666666666667,0.254603086456077
84,clinical_plus_myeloid,0.8,0.19757738505747635
84,clinical_plus_barrier,0.5666666666666667,0.24730937506718814
84,clinical_plus_myeloid_barrier,0.7666666666666666,0.20340309523844455
85,clinical_Mayo_age,0.22857142857142856,0.3485871603313568
